,year,make,model,VClass,cylinders,displ,2D PassVol,2D LuggVol,4D PassVol,4D LuggVol,HatchPassVol,HatchLuggVol,drive,CombCityHwy MPG,CombCHW_Cost100miles,AggCombMPG,AggCombCHW_Cost100miles,HW mpg@55,HW@55_Cost100miles,HW mpg@65,HW@65_Cost100miles,HW mpg@75,HW@75_Cost100miles,HW mpg@85,HW@85_Cost100miles,HW mpg@95,HW mpg@105
39137,2023,Audi,RS 6 Avant,Midsize Station Wagons,8.0,4.0,0,0,101,30,0,0,All-Wheel Drive,17,23.53,13,30.77,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39138,2023,Hyundai,Santa Fe FWD,Small Sport Utility Vehicle 2WD,4.0,2.5,0,0,0,0,0,0,Front-Wheel Drive,26,15.38,20,20.0,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39139,2023,Hyundai,Santa Fe FWD,Small Sport Utility Vehicle 2WD,4.0,2.5,0,0,0,0,0,0,Front-Wheel Drive,25,16.0,20,20.0,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39140,2023,BMW,X1 xDrive28i,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,28,14.29,22,18.18,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39141,2023,Hyundai,Santa Fe AWD,Small Sport Utility Vehicle 4WD,4.0,2.5,0,0,0,0,0,0,All-Wheel Drive,24,16.67,19,21.05,25,16.0,22,18.18,19,21.05,16,25.0,13,11
39142,2023,Hyundai,Santa Fe AWD,Small Sport Utility Vehicle 4WD,4.0,2.5,0,0,0,0,0,0,All-Wheel Drive,24,16.67,19,21.05,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39144,2023,Cadillac,Escalade 2WD,Standard Sport Utility Vehicle 2WD,8.0,6.2,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39145,2023,Chevrolet,Tahoe 2WD,Standard Sport Utility Vehicle 2WD,8.0,6.2,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39146,2023,Chevrolet,Suburban 2WD,Standard Sport Utility Vehicle 2WD,8.0,6.2,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39147,2023,Chevrolet,Tahoe 2WD,Standard Sport Utility Vehicle 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
